Section Name,Text Content
HOME PAGE - Expert Insights Intro,Through our global insights and local experts we help build the strategies and deliver the end-to-end services that help clients achieve meaningful and sustainable outcomes.
HOME PAGE - Expert 1,Ethel Colsen - How digital manufacturing clouds unlock collaboration between IT and business
HOME PAGE - Expert 2,Helena Jochberger - AI impact on management consulting
HOME PAGE - Expert 3,Lara Ozanne - Overcoming OCIO challenges to deliver real business value
HOME PAGE - Expert CTA,Explore advice and commentary from our experts

HOME PAGE - Video Section Title,CGI – by your side every day
HOME PAGE - Video Section,YouTube video embedded

HOME PAGE - Latest News Title,Latest news
HOME PAGE - News Item 1,CGI files 2025 Annual Disclosure Documents
HOME PAGE - News Item 2,CGI to deliver secure mobile communications solution for NATO
HOME PAGE - News Item 3,CGI expands its Winnipeg presence and Canadian footprint with the acquisition of Online Business Systems
HOME PAGE - News CTA,See more

SERVICES PAGE - Hero Title,End-to-end services
SERVICES PAGE - Hero Description,We help you meet the ever-evolving digital expectations of your customers and citizens through our secure and flexible end-to-end services.

SERVICES PAGE - Service 1 Title,Business consulting
SERVICES PAGE - Service 1 Description,Strategic advisory services that help you navigate complex business challenges and drive meaningful transformation.
SERVICES PAGE - Service 1 Benefits,"Strategic planning | Digital transformation | Process optimization | Change management"

SERVICES PAGE - Service 2 Title,Business process services
SERVICES PAGE - Service 2 Description,Comprehensive BPS solutions that streamline operations and enhance efficiency across your organization.
SERVICES PAGE - Service 2 Benefits,"Process automation | Workflow optimization | Cost reduction | Quality improvement"

SERVICES PAGE - Service 3 Title,Managed IT services
SERVICES PAGE - Service 3 Description,End-to-end IT management that allows you to focus on your core business while we handle your technology needs.
SERVICES PAGE - Service 3 Benefits,"24/7 support | Infrastructure management | Security monitoring | Performance optimization"

SERVICES PAGE - Service 4 Title,Artificial intelligence
SERVICES PAGE - Service 4 Description,AI solutions that transform data into actionable insights and drive intelligent automation across your enterprise.
SERVICES PAGE - Service 4 Benefits,"Machine learning | Natural language processing | Computer vision | Predictive analytics"

SERVICES PAGE - Service 5 Title,Data analytics
SERVICES PAGE - Service 5 Description,Advanced analytics capabilities that unlock the value of your data and drive data-driven decision making.
SERVICES PAGE - Service 5 Benefits,"Business intelligence | Advanced analytics | Data visualization | Real-time insights"

SERVICES PAGE - Service 6 Title,Cloud & hybrid IT
SERVICES PAGE - Service 6 Description,Cloud solutions that provide the flexibility scalability and security your business needs to thrive.
SERVICES PAGE - Service 6 Benefits,"Cloud migration | Hybrid cloud | Cloud security | Cloud optimization"

SERVICES PAGE - CTA Title,Ready to transform your business?
SERVICES PAGE - CTA Description,Let's discuss how our services can help you achieve your business objectives.
SERVICES PAGE - CTA Button,Contact us

INDUSTRIES PAGE - Hero Title,Industries we serve
INDUSTRIES PAGE - Hero Description,We provide industry-specific insights and solutions that help you navigate unique challenges and seize opportunities in your sector.

INDUSTRIES PAGE - Industry 1,Banking - Helping financial institutions modernize operations enhance customer experiences and navigate regulatory challenges.
INDUSTRIES PAGE - Industry 2,Government - Supporting government agencies in delivering better services to citizens through digital transformation and modernization.
INDUSTRIES PAGE - Industry 3,Health - Transforming healthcare delivery with innovative technology solutions that improve patient outcomes and operational efficiency.
INDUSTRIES PAGE - Industry 4,Manufacturing - Enabling manufacturers to optimize operations improve supply chain visibility and embrace Industry 4.0.
INDUSTRIES PAGE - Industry 5,Retail - Helping retailers create seamless omnichannel experiences and adapt to changing consumer expectations.
INDUSTRIES PAGE - Industry 6,Energy & utilities - Supporting energy and utility companies in their transition to sustainable digital-first operations.

INDUSTRIES PAGE - Voice of Clients Title,Voice of our clients
INDUSTRIES PAGE - Voice of Clients Description,Every year we conduct thousands of in-depth client interviews to understand their priorities challenges and expectations.
INDUSTRIES PAGE - Voice of Clients CTA,Read the latest insights

CASE STUDIES PAGE - Hero Title,Client success stories
CASE STUDIES PAGE - Hero Description,Discover how we've helped clients across industries achieve meaningful and sustainable outcomes through our expertise and partnership.

CASE STUDIES PAGE - Study 1,Setra Group: Driving standardization at scale with a unified MES platform
CASE STUDIES PAGE - Study 2,Volkswagen Group & CGI: Reimagining managed services
CASE STUDIES PAGE - Study 3,Driving a cloud-ready SAP transformation
CASE STUDIES PAGE - Study 4,CGI helps U.S. bank drive efficiencies through debt recovery modernization
CASE STUDIES PAGE - Study 5,Transforming customer experience for a leading telecom provider
CASE STUDIES PAGE - Study 6,Modernizing legacy systems for a global bank
CASE STUDIES PAGE - Study 7,Building a smart city platform for urban innovation
CASE STUDIES PAGE - Study 8,Implementing AI-powered supply chain optimization
CASE STUDIES PAGE - Study 9,Digital transformation in healthcare delivery

CASE STUDIES PAGE - CTA Title,Ready to write your success story?
CASE STUDIES PAGE - CTA Description,Let's explore how we can help you achieve your business objectives.
CASE STUDIES PAGE - CTA Button,Get in touch

CAREERS PAGE - Hero Title,Build your career with CGI
CAREERS PAGE - Hero Description,Join a global team of professionals dedicated to making a difference. At CGI we're committed to your growth innovation and success.

CAREERS PAGE - Why CGI Title,Why CGI?
CAREERS PAGE - Why CGI Description,As one of the world's largest IT and business consulting firms we offer unparalleled opportunities for professional growth and development. Our member-owner culture ensures that everyone has a voice and a stake in our success.
CAREERS PAGE - Why CGI Benefits,"Competitive compensation and benefits | Flexible work arrangements | Professional development opportunities | Collaborative and inclusive culture | Global career mobility | Work-life balance support"

CAREERS PAGE - Open Positions Title,Open positions
CAREERS PAGE - Job 1,Cloud Solutions Architect - Multiple locations - Design and implement cloud infrastructure solutions for enterprise clients.
CAREERS PAGE - Job 2,AI/ML Engineer - Remote - Develop cutting-edge AI solutions that drive business transformation.
CAREERS PAGE - Job 3,Business Consultant - New York NY - Partner with clients to deliver strategic business insights and outcomes.
CAREERS PAGE - Job 4,Cybersecurity Specialist - Washington DC - Protect critical infrastructure and data for government clients.

CAREERS PAGE - Submit Resume Title,Can't find the right role?
CAREERS PAGE - Submit Resume Description,Submit your resume and we'll keep you in mind for future opportunities that match your skills and interests.
CAREERS PAGE - Submit Resume Button,Submit your resume

CONTACT PAGE - Hero Title,Contact us
CONTACT PAGE - Hero Description,Let's discuss how CGI can help you achieve your business objectives. Reach out to us and we'll connect you with the right experts.

CONTACT PAGE - Form Title,Get in touch
CONTACT PAGE - Form Fields,"First name | Last name | Email | Company | Phone | Country | Message"
CONTACT PAGE - Form Button,Send message

CONTACT PAGE - Info Title,Contact information
CONTACT PAGE - Global HQ,Global headquarters - 1350 René-Lévesque Blvd. West Montreal Quebec H3G 1T4 Canada
CONTACT PAGE - Phone,+1 514 841 3200
CONTACT PAGE - Email,info@cgi.com
CONTACT PAGE - Global Presence,With over 400 locations worldwide we're close to our clients no matter where they operate.
CONTACT PAGE - Locations CTA,Find a location near you →

ABOUT PAGE - Hero Title,About CGI
ABOUT PAGE - Hero Description,Founded in 1976 CGI is among the largest IT and business consulting services firms in the world. We are insights-driven and outcomes-based to help accelerate returns on your investments.

ABOUT PAGE - Stats,"94000+ Professionals worldwide | 400+ Locations globally | 48+ Years of experience | $14B+ Annual revenue"

ABOUT PAGE - Our Story Title,Our story
ABOUT PAGE - Our Story Para 1,Since our founding in 1976 CGI has grown from a small Canadian startup to one of the world's largest independent IT and business consulting services firms.
ABOUT PAGE - Our Story Para 2,Our success is built on a unique member-owner culture where our professionals are also shareholders. This structure aligns our interests with those of our clients and ensures long-term commitment to quality and excellence.
ABOUT PAGE - Our Story Para 3,Today we operate in hundreds of locations across the globe serving thousands of clients in virtually every industry. Our proximity model ensures we're always close to our clients understanding their unique challenges and opportunities.

ABOUT PAGE - Values Title,Our values
ABOUT PAGE - Value 1,Partnership - We work side-by-side with our clients as trusted advisors not just service providers.
ABOUT PAGE - Value 2,Quality - We deliver excellence in everything we do ensuring sustainable outcomes for our clients.
ABOUT PAGE - Value 3,Integrity - We operate with transparency honesty and respect in all our relationships.
ABOUT PAGE - Value 4,Innovation - We continuously evolve our capabilities to help clients navigate changing technology landscapes.

ABOUT PAGE - Leadership Title,Leadership
ABOUT PAGE - Leadership Description,Our leadership team brings decades of experience in technology business consulting and strategic management to guide CGI's vision and operations.
ABOUT PAGE - Leader 1,George D. Schindler - President and CEO
ABOUT PAGE - Leader 2,François Boulanger - Executive Vice-President and CFO
ABOUT PAGE - Leader 3,Stephanie Lavallee - Chief Operating Officer

ABOUT PAGE - CTA Title,Join us on our journey
ABOUT PAGE - CTA Description,Whether you're looking for a career opportunity or a business partnership we'd love to hear from you.
ABOUT PAGE - CTA Buttons,Explore careers | Contact us

FOOTER - Section 1 Title,Services
FOOTER - Section 1 Links,"Business consulting | Business process services | Managed IT services | Artificial intelligence | Data analytics | Cloud & hybrid IT"

FOOTER - Section 2 Title,Industries
FOOTER - Section 2 Links,"Banking | Government | Health | Manufacturing | Retail | Energy & utilities"

FOOTER - Section 3 Title,Company
FOOTER - Section 3 Links,"About us | Careers | News | Investors | Contact | Locations"

FOOTER - Section 4 Title,Insights
FOOTER - Section 4 Links,"Blog | Case studies | Events | Voice of our clients"

FOOTER - Social Media,LinkedIn | Twitter | Facebook | YouTube
FOOTER - Bottom Links,Privacy | Legal | Accessibility | Sitemap
FOOTER - Copyright,© 2025 CGI Inc. All rights reserved.
